id,rank_idx,title,rating,rating_count,quote,link,director,year,created_at,cast_members,genres,countries
1,1,肖申克的救赎,9.7,3265297,希望让人自由。,https://movie.douban.com/subject/1292052/,弗兰克·德拉邦特 Frank Darabont,1994,2026-03-12 18:07:37,"蒂姆·罗宾斯, 摩根·弗里曼, 鲍勃·冈顿, 威廉·赛德勒, 克兰西·布朗, 吉尔·贝罗斯, 马克·罗斯顿, 詹姆斯·惠特摩, 杰弗里·德曼, 拉里·布兰登伯格, 尼尔·吉恩托利, 布赖恩·利比, 大卫·普罗瓦尔, 约瑟夫·劳格诺, 祖德·塞克利拉, 保罗·麦克兰尼, 芮妮·布莱恩, 阿方索·弗里曼, 弗兰克·梅德拉诺, 马克·迈尔斯, 尼尔·萨默斯, 耐德·巴拉米, 布赖恩·戴拉特, 唐·麦克马纳斯","犯罪, 剧情",美国
2,2,霸王别姬,9.6,2408827,风华绝代。,https://movie.douban.com/subject/1291546/,陈凯歌 Kaige Chen,1993,2026-03-12 18:07:37,"张国荣, 张丰毅, 巩俐, 葛优, 英达, 蒋雯丽, 吴大维, 吕齐, 雷汉, 尹治, 马明威, 费振翔, 智一桐, 李春, 赵海龙, 李丹, 童弟, 沈慧芬, 黄斐, 徐杰","剧情, 爱情, 同性","中国大陆, 中国香港"
3,3,泰坦尼克号,9.5,2482728,失去的才是永恒的。,https://movie.douban.com/subject/1292722/,詹姆斯·卡梅隆 James Cameron,1997,2026-03-12 18:07:37,"莱昂纳多·迪卡普里奥, 凯特·温斯莱特, 比利·赞恩, 凯西·贝茨, 弗兰西丝·费舍, 格劳瑞亚·斯图尔特, 比尔·帕克斯顿, 伯纳德·希尔, 大卫·沃纳, 维克多·加博, 乔纳森·海德, 苏茜·爱米斯, 刘易斯·阿伯内西, 尼古拉斯·卡斯柯恩, 阿那托利·萨加洛维奇, 丹尼·努齐, 杰森·贝瑞, 伊万·斯图尔特, 艾恩·格拉法德, 乔纳森·菲利普斯, 马克·林赛·查普曼, 理查德·格拉翰, 保罗·布赖特威尔, 艾瑞克·布里登, 夏洛特·查顿, 博纳德·福克斯, 迈克尔·英塞恩, 法妮·布雷特, 马丁·贾维斯, 罗莎琳·艾尔斯, 罗切尔·罗斯, 乔纳森·伊万斯, 西蒙·克雷恩, 爱德华德·弗莱彻, 斯科特·安德森, 马丁·伊斯特, 克雷格·凯利, 格雷戈里·库克, 利亚姆·图伊, 詹姆斯·兰开斯特, 艾尔莎·瑞雯, 卢·帕尔特, 泰瑞·佛瑞斯塔, 凯文·德·拉·诺伊","剧情, 爱情, 灾难",美国
4,4,阿甘正传,9.5,2417190,一部美国近现代史。,https://movie.douban.com/subject/1292720/,罗伯特·泽米吉斯 Robert Zemeckis,1994,2026-03-12 18:07:37,"汤姆·汉克斯, 罗宾·怀特, 加里·辛尼斯, 麦凯尔泰·威廉逊, 莎莉·菲尔德, 海利·乔·奥斯蒙, 迈克尔·康纳·亨弗里斯, 哈罗德, 山姆·安德森, 伊俄涅, 彼得·道博森, 希芳·法隆, 伊丽莎白·汉克斯, 汉娜·豪尔, 克里斯托弗·琼斯, 罗布·兰德里, 杰森·麦克奎尔, 桑尼·施罗耶, 艾德·戴维斯, 丹尼尔, 大卫·布里斯宾, 德博拉·麦克蒂尔, 艾尔·哈林顿, 阿非莫·奥米拉, 约翰·沃德斯塔德, 迈克尔·伯吉斯, 埃里克·安德伍德, 拜伦·明斯, 斯蒂芬·布吉格沃特, 约翰·威廉·高尔特, 希拉里·沙普兰, 伊莎贝尔·罗斯, 理查德·达历山德罗, 迪克·史迪威, 迈克尔, 杰弗里·布莱克, 瓦妮莎·罗斯, 迪克·卡维特, 马拉·苏查雷特扎, 乔·阿拉斯奇, 本森·泰瑞","剧情, 爱情",美国
5,5,千与千寻,9.4,2521315,最好的宫崎骏，最好的久石让。,https://movie.douban.com/subject/1291561/,宫崎骏 Hayao Miyazaki,2001,2026-03-12 18:07:37,"柊瑠美, 入野自由, 夏木真理, 菅原文太, 中村彰男, 玉井夕海, 神木隆之介, 内藤刚志, 泽口靖子, 我修院达也, 大泉洋, 小林郁夫, 上条恒彦, 小野武彦","剧情, 动画, 奇幻",日本
6,6,美丽人生,9.5,1473948,最美的谎言。,https://movie.douban.com/subject/1292063/,罗伯托·贝尼尼 Roberto Benigni,1997,2026-03-12 18:07:37,"罗伯托·贝尼尼, 尼可莱塔·布拉斯基, 乔治·坎塔里尼, 朱斯蒂诺·杜拉诺, 赛尔乔·比尼·布斯特里克, 玛丽萨·帕雷德斯, 霍斯特·布赫霍尔茨, 利迪娅·阿方西, 朱利亚娜·洛约迪切, 亚美利哥·丰塔尼, 彼得·德·席尔瓦, 弗朗西斯·古佐, 拉法埃拉·莱博罗尼, 克劳迪奥·阿方西, 吉尔·巴罗尼, 马西莫·比安奇, 恩尼奥·孔萨尔维, 吉安卡尔洛·科森蒂诺, 阿伦·克雷格, 汉尼斯·赫尔曼, 弗兰科·梅斯科利尼, 安东尼奥·普雷斯特, 吉娜·诺维勒, 理查德·塞梅尔, 安德烈提多娜, 迪尔克·范登贝格, 奥梅罗·安东努蒂","剧情, 喜剧, 爱情, 战争",意大利
7,7,星际穿越,9.4,2163946,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/,克里斯托弗·诺兰 Christopher Nolan,2014,2026-03-12 18:07:37,"马修·麦康纳, 安妮·海瑟薇, 杰西卡·查斯坦, 麦肯吉·弗依, 卡西·阿弗莱克, 迈克尔·凯恩, 马特·达蒙, 提莫西·查拉梅, 艾伦·伯斯汀, 约翰·利思戈, 韦斯·本特利, 大卫·吉亚西, 比尔·欧文, 托弗·格雷斯, 科莱特·沃夫, 弗朗西斯, 安德鲁·博尔巴, 乔什·斯图沃特, 莱雅·卡里恩斯, 利亚姆·迪金森, 杰夫·赫普内尔, 伊莱耶斯·加贝尔, 布鲁克·史密斯, 大卫·奥伊罗, 威廉·德瓦内, 拉什·费加, 格里芬·弗雷泽, 弗洛拉·诺兰","剧情, 科幻, 冒险","美国, 英国, 加拿大"
8,8,这个杀手不太冷,9.4,2540063,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/,吕克·贝松 Luc Besson,1994,2026-03-12 18:07:37,"让·雷诺, 娜塔莉·波特曼, 加里·奥德曼, 丹尼·爱罗, 彼得·阿佩尔, 迈克尔·巴达鲁科, 艾伦·格里尼, 伊丽莎白·瑞根, 卡尔·马图斯维奇, 弗兰克·赛格, 麦温, 乔治·马丁, 罗伯特·拉萨多, 亚当·布斯奇, 马里奥·托迪斯科, 萨米·纳塞利","剧情, 动作, 犯罪","法国, 美国"
9,9,盗梦空间,9.4,2312031,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/,克里斯托弗·诺兰 Christopher Nolan,2010,2026-03-12 18:07:37,"莱昂纳多·迪卡普里奥, 约瑟夫·高登, 艾利奥特·佩吉, 汤姆·哈迪, 渡边谦, 迪利普·劳, 基里安·墨菲, 汤姆·贝伦杰, 玛丽昂·歌迪亚, 皮特·波斯尔思韦特, 迈克尔·凯恩, 卢卡斯·哈斯, 李太力, 克莱尔·吉尔蕾, 马格努斯·诺兰, 泰勒·吉蕾, 乔纳森·吉尔, 水源士郎, 冈本玉二, 厄尔·卡梅伦, 瑞恩·海沃德, 米兰达·诺兰, 拉什·费加, 蒂姆·科勒赫, 妲露拉·莱莉","剧情, 科幻, 悬疑, 冒险","美国, 英国"
10,10,楚门的世界,9.4,2003669,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/,彼得·威尔 Peter Weir,1998,2026-03-12 18:07:37,"金·凯瑞, 劳拉·琳妮, 艾德·哈里斯, 诺亚·艾默里奇, 娜塔莎·麦克艾霍恩","剧情, 科幻",美国
